,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
38,1814200202095686125,Fri Jul 19 07:26:49 +0000 2024,0,jangan diam dan lawan radikalisme dan terorisme,1814200202095686125,https://pbs.twimg.com/media/GS1Vb1XbcAAfsNe.jpg,,in,"Denpasar, Bali",0,1,0,https://x.com/sherlynlyn_/status/1814200202095686125,1356878255328907264,sherlynlyn_,"['jangan', 'diam', 'dan', 'lawan', 'radikalisme', 'dan', 'terorisme']",<FreqDist with 6 samples and 7 outcomes>,"['diam', 'lawan', 'radikalisme', 'terorisme']","['diam', 'lawan', 'radikalisme', 'terorisme']","['diam', 'lawan', 'radikalisme', 'terorisme']"
39,1814200202083148270,Fri Jul 19 07:26:49 +0000 2024,0,chudai pporno chudai,1814200202083148270,,,in,New York City,0,0,0,https://x.com/Rachel16422946/status/1814200202083148270,1792097685555593216,Rachel16422946,"['chudai', 'pporno', 'chudai']",<FreqDist with 2 samples and 3 outcomes>,"['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']"
40,1813952757688041701,Fri Jul 19 07:26:49 +0000 2024,0,allah,1814200201973846518,,Atmayn_,in,,0,0,0,https://x.com/ZekraouiMounir/status/1814200201973846518,1590941596203319297,ZekraouiMounir,['allah'],<FreqDist with 1 samples and 1 outcomes>,['allah'],['allah'],['allah']
41,1814200201886003627,Fri Jul 19 07:26:48 +0000 2024,0,mampus kau ler,1814200201886003627,,,in,Malaysia,0,0,0,https://x.com/ppynutbbuter/status/1814200201886003627,4179171854,ppynutbbuter,"['mampus', 'kau', 'ler']",<FreqDist with 3 samples and 3 outcomes>,"['mampus', 'kau', 'ler']","['mampus', 'kau', 'ler']","['mampus', 'kau', 'ler']"
42,1814200201881772125,Fri Jul 19 07:26:48 +0000 2024,0,ba mutualan yuk,1814200201881772125,,,in,"💸 E-wallet, seabank & Qris",0,0,0,https://x.com/lovin9y0uu/status/1814200201881772125,839523778740641792,lovin9y0uu,"['ba', 'mutualan', 'yuk']",<FreqDist with 3 samples and 3 outcomes>,"['ba', 'mutualan', 'yuk']","['ba', 'mutualan', 'yuk']","['ba', 'mutualan', 'yuk']"
43,1814197295816343959,Fri Jul 19 07:26:48 +0000 2024,0,aku suka ka sunghoon,1814200201856585731,,lTSROSlE,in,𓆩𓉳𓆪 To RP 아이브 :  𝟐𝟎𝟎𝟒,0,0,0,https://x.com/womyovng/status/1814200201856585731,2758717895,womyovng,"['aku', 'suka', 'ka', 'sunghoon']",<FreqDist with 4 samples and 4 outcomes>,"['suka', 'ka', 'sunghoon']","['suka', 'ka', 'sunghoon']","['suka', 'ka', 'sunghoon']"
44,1814200201852371114,Fri Jul 19 07:26:48 +0000 2024,0,chudai pporno chudai,1814200201852371114,,,in,Philadelphia,0,0,0,https://x.com/Helyn1861354039/status/1814200201852371114,1789191600016384001,Helyn1861354039,"['chudai', 'pporno', 'chudai']",<FreqDist with 2 samples and 3 outcomes>,"['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']","['chudai', 'pporno', 'chudai']"
45,1814200201764385242,Fri Jul 19 07:26:48 +0000 2024,0,berani jujur itu baik loh ya drpd direvisi spy sesuai etika kekinian emg begitulah etika abad apa adanya,1814200201764385242,,,in,stargate,0,0,0,https://x.com/jrdsty/status/1814200201764385242,1769225523253911552,jrdsty,"['berani', 'jujur', 'itu', 'baik', 'loh', 'ya', 'drpd', 'direvisi', 'spy', 'sesuai', 'etika', 'kekinian', 'emg', 'begitulah', 'etika', 'abad', 'apa', 'adanya']",<FreqDist with 17 samples and 18 outcomes>,"['berani', 'jujur', 'drpd', 'direvisi', 'spy', 'sesuai', 'etika', 'kekinian', 'emg', 'etika', 'abad']","['berani', 'jujur', 'drpd', 'direvisi', 'spy', 'sesuai', 'etika', 'kekinian', 'emg', 'etika', 'abad']","['berani', 'jujur', 'drpd', 'revisi', 'spy', 'sesuai', 'etika', 'kini', 'emg', 'etika', 'abad']"
46,1814165983856296199,Fri Jul 19 07:26:48 +0000 2024,0,trus gimana dia sekarang,1814200201441382413,,vxsasa17,in,"Yogyakarta, Indonesia",0,0,0,https://x.com/Daybyday555/status/1814200201441382413,1415937168782991364,Daybyday555,"['trus', 'gimana', 'dia', 'sekarang']",<FreqDist with 4 samples and 4 outcomes>,"['trus', 'gimana']","['terus', 'bagaimana']","['terus', 'bagaimana']"
47,1814200201424376207,Fri Jul 19 07:26:48 +0000 2024,0,ngantuk bangettt,1814200201424376207,,,in,Jakarta,0,0,0,https://x.com/adilalisandi14/status/1814200201424376207,99850693,adilalisandi14,"['ngantuk', 'bangettt']",<FreqDist with 2 samples and 2 outcomes>,"['ngantuk', 'bangettt']","['ngantuk', 'bangettt']","['ngantuk', 'bangettt']"
48,1814194838298104010,Fri Jul 19 07:26:48 +0000 2024,0,kak ini kamuu ngisi berapa kalo boleh tauu,1814200201340715443,,7eongwo0,in,,0,0,0,https://x.com/Hermissies/status/1814200201340715443,1785980101043384320,Hermissies,"['kak', 'ini', 'kamuu', 'ngisi', 'berapa', 'kalo', 'boleh', 'tauu']",<FreqDist with 8 samples and 8 outcomes>,"['kak', 'kamuu', 'ngisi', 'tauu']","['kak', 'kamuu', 'ngisi', 'tauu']","['kak', 'kamuu', 'ngisi', 'tauu']"
49,1814172146412990499,Fri Jul 19 07:26:48 +0000 2024,0, angoota na katwa dei guru ji,1814200201319796922,,shyam_v007,in,Earth,0,0,0,https://x.com/KhabibMach26716/status/1814200201319796922,1647648707477897221,KhabibMach26716,"['angoota', 'na', 'katwa', 'dei', 'guru', 'ji']",<FreqDist with 6 samples and 6 outcomes>,"['angoota', 'na', 'katwa', 'dei', 'guru', 'ji']","['angoota', 'na', 'katwa', 'dei', 'guru', 'ji']","['angoota', 'na', 'katwa', 'dei', 'guru', 'ji']"
50,1814200200896090134,Fri Jul 19 07:26:48 +0000 2024,0,gak kerasa kontraknya udah mau abis,1814200200896090134,,,in,21. rps minwon.,0,0,0,https://x.com/favorease/status/1814200200896090134,1676981721672327168,favorease,"['gak', 'kerasa', 'kontraknya', 'udah', 'mau', 'abis']",<FreqDist with 6 samples and 6 outcomes>,"['kerasa', 'kontraknya', 'udah', 'abis']","['kerasa', 'kontraknya', 'sudah', 'abis']","['rasa', 'kontrak', 'sudah', 'abis']"
51,1813894458418798967,Fri Jul 19 07:26:48 +0000 2024,0,burem revisi lagi,1814200200808055050,,phamhaanni,in,OA SEMI EVENT.,0,0,0,https://x.com/SummerChews/status/1814200200808055050,1793504869984464897,SummerChews,"['burem', 'revisi', 'lagi']",<FreqDist with 3 samples and 3 outcomes>,"['burem', 'revisi']","['burem', 'revisi']","['burem', 'revisi']"
